itian,val_loss,val_acc,loss,acc
0,1.613788162,0.4003,1.943779972,0.267491194
1,1.317496847,0.5237,1.527654088,0.436919629
2,1.148636526,0.5946,1.289264387,0.531380083
3,1.104677465,0.6157,1.154493591,0.585674832
4,0.975874395,0.6581,1.063145528,0.620737272
5,0.922366817,0.6837,0.981283334,0.652217419
6,0.869327441,0.7034,0.914323975,0.677213417
7,0.810478235,0.7271,0.865975064,0.695004803
8,0.825973114,0.7284,0.817095549,0.713136407
9,0.694045682,0.7612,0.787009576,0.723943324
10,0.749358106,0.7488,0.753523181,0.737071726
11,0.667081754,0.7744,0.723669771,0.748418988
12,0.604389548,0.7989,0.705269127,0.755543548
13,0.65064489,0.7891,0.682442302,0.765029619
14,0.63401323,0.7886,0.66534967,0.770252962
15,0.642821632,0.7912,0.647975696,0.775576369
16,0.672170586,0.7903,0.636478203,0.781239994
17,0.790762672,0.7579,0.615575793,0.787524015
18,0.592141167,0.8023,0.612194445,0.78798431
19,0.57103314,0.8107,0.59673657,0.795288985
20,0.591549553,0.8088,0.590980885,0.793607909
21,0.584106862,0.8104,0.579986122,0.800352225
22,0.582342406,0.8125,0.567420242,0.804674992
23,0.515421632,0.8267,0.558508513,0.806636247
24,0.610345133,0.8141,0.553703554,0.809778258
25,0.550201455,0.8252,0.549980808,0.811019052
26,0.546440953,0.8283,0.541915883,0.814461255
27,0.572051874,0.8241,0.534674791,0.817122959
28,0.554781812,0.8207,0.5342189,0.816522574
29,0.558474878,0.8228,0.525745351,0.8206252
30,0.501633906,0.8342,0.519822924,0.822226225
31,0.62571483,0.8105,0.514515812,0.823847262
32,0.491704351,0.8396,0.508725318,0.825108069
33,0.515207785,0.838,0.513877392,0.82126561
34,0.537575523,0.8315,0.507692412,0.827929875
35,0.508487986,0.8384,0.501471059,0.82610871
36,0.556090788,0.8339,0.493609349,0.830331412
37,0.52625658,0.8365,0.496747824,0.829110631
38,0.55547149,0.8231,0.483646585,0.835114473
39,0.497177425,0.8444,0.485916068,0.832966549
40,0.464243954,0.8481,0.483320354,0.834901505
41,0.507013494,0.8328,0.474680537,0.836655459
42,0.477257502,0.8505,0.479548833,0.835854947
43,0.487189831,0.8488,0.477304501,0.836415306
44,0.547608517,0.8394,0.473059397,0.836475344
45,0.506129656,0.8349,0.46821814,0.838236471
46,0.499234694,0.843,0.467516297,0.839917547
47,0.513586135,0.8428,0.467530947,0.841058277
48,0.448846807,0.8556,0.460605929,0.841298431
49,0.463922988,0.855,0.459091942,0.84107829
50,0.495415215,0.8456,0.459278416,0.843019533
51,0.565921898,0.83,0.454649429,0.844700608
52,0.525059131,0.8474,0.454058989,0.845020813
53,0.516254996,0.8454,0.456227318,0.843019533
54,0.490763724,0.8417,0.452186931,0.845581172
55,0.514738965,0.8387,0.448324124,0.848422991
56,0.4703408,0.8459,0.451548555,0.844280339
57,0.544395594,0.8494,0.448791701,0.848242875
58,0.494635186,0.855,0.451103427,0.845461095
59,0.477199624,0.8572,0.446489836,0.84478066
60,0.467751679,0.8551,0.440684207,0.848863272
61,0.485831611,0.853,0.442263264,0.848322927
62,0.475590399,0.8501,0.449073304,0.846261607
63,0.527089706,0.8499,0.435881467,0.851645053
64,0.481611555,0.8518,0.436354516,0.850744476
65,0.407258985,0.8698,0.436695894,0.849743836
66,0.483795298,0.8612,0.440367752,0.846721902
67,0.453694735,0.8632,0.431229746,0.853306116
68,0.458584625,0.8704,0.432947073,0.850244156
69,0.459910319,0.8543,0.428954531,0.853826449
70,0.439634228,0.8637,0.43214703,0.85309299
71,0.461079569,0.8683,0.426789251,0.854660474
72,0.470821924,0.8615,0.429392796,0.854426833
73,0.459161217,0.8634,0.426159311,0.855007205
74,0.450845579,0.861,0.430058655,0.854466859
75,0.523639493,0.8442,0.424709631,0.854907141
76,0.483970101,0.8573,0.430117614,0.854847102
77,0.478360199,0.8647,0.417154689,0.857394366
78,0.482784864,0.8608,0.422539509,0.855581358
79,0.504356067,0.8623,0.422894009,0.85632805
80,0.440809041,0.8684,0.421187681,0.856107909
81,0.439445911,0.8635,0.423457741,0.856047871
82,0.440632397,0.8625,0.41693771,0.858354673
83,0.470281521,0.8651,0.413442909,0.858544202
84,0.453643262,0.8617,0.417488912,0.857849023
85,0.502322677,0.8601,0.416521784,0.858129203
86,0.467073283,0.8689,0.419051065,0.856448127
87,0.426599019,0.8725,0.419089935,0.856808357
88,0.445516705,0.8739,0.410123187,0.861111111
89,0.527064294,0.8559,0.410953673,0.859530099
90,0.477926248,0.8656,0.413855698,0.860830932
91,0.482549471,0.8678,0.411003977,0.859269933
92,0.431170714,0.8727,0.410052886,0.860330612
93,0.450048398,0.8705,0.408308555,0.861511367
94,0.471436625,0.8523,0.408904297,0.86025056
95,0.41629529,0.8723,0.405822998,0.861191162
96,0.478676451,0.8636,0.406700001,0.861351265
97,0.436466058,0.8654,0.407576769,0.860971021
98,0.403951181,0.8796,0.406743521,0.861835787
99,0.459300922,0.8675,0.405347589,0.86116672
100,0.438259081,0.8766,0.407211089,0.861451329
101,0.455458191,0.8698,0.401440165,0.862371918
102,0.474787082,0.8644,0.406108628,0.860590778
103,0.436095367,0.8691,0.409929962,0.859334987
104,0.444644585,0.8705,0.395827016,0.86553091
105,0.466546882,0.8662,0.403012244,0.863572687
106,0.438650989,0.8727,0.399868729,0.864433237
107,0.428531541,0.8725,0.395113599,0.866774736
108,0.445232511,0.8687,0.400979558,0.863572687
109,0.484614385,0.8578,0.400848816,0.862692123
110,0.482642217,0.875,0.399172966,0.864113032
111,0.475875007,0.861,0.401551261,0.863592699
112,0.426613295,0.8779,0.391067724,0.866854787
113,0.48765723,0.8631,0.405635007,0.863396287
114,0.43087299,0.8713,0.401839246,0.864373199
115,0.436600254,0.878,0.393225161,0.866431775
116,0.470367504,0.8738,0.398695195,0.86523375
117,0.441542369,0.8771,0.393863898,0.867134966
118,0.464099244,0.8734,0.383750311,0.869236311
119,0.486634306,0.8702,0.390835033,0.867795389
120,0.482957654,0.866,0.39568297,0.865837068
121,0.424113128,0.8741,0.391755987,0.866591928
122,0.439126659,0.8708,0.393692997,0.867675312
123,0.537244149,0.8562,0.392186747,0.867134966
124,0.408175322,0.8736,0.390834404,0.867655299
125,0.434721742,0.8699,0.388765994,0.868756004
126,0.428084701,0.8722,0.38611469,0.867855427
127,0.422600069,0.8794,0.391213649,0.867915466
128,0.456593036,0.8724,0.382283963,0.870418534
129,0.46755341,0.8666,0.395105896,0.867713004
130,0.454636369,0.8694,0.381762641,0.870557157
131,0.450897217,0.8707,0.391112751,0.865974224
132,0.534177762,0.8453,0.379364347,0.869878361
133,0.399108487,0.8841,0.38718793,0.868633889
134,0.50216945,0.8682,0.383811565,0.870138444
135,0.382687748,0.8864,0.380757683,0.871076233
136,0.486885075,0.8615,0.388222515,0.867735351
137,0.474213359,0.871,0.378816346,0.872118156
138,0.49164378,0.8579,0.384173326,0.870417067
139,0.440595299,0.8723,0.382333334,0.869756644
140,0.436229276,0.8742,0.377443055,0.872559219
141,0.4413965,0.8642,0.383664112,0.871256406
142,0.484761423,0.8617,0.378833131,0.872438361
143,0.40406392,0.8781,0.380675524,0.870196926
144,0.480205344,0.871,0.372883768,0.874459654
145,0.479602804,0.8698,0.380108595,0.871457733
146,0.442146549,0.8756,0.379511586,0.87049856
147,0.451037097,0.8674,0.382817943,0.868653908
148,0.419587419,0.8804,0.369180236,0.87628082
149,0.477848798,0.8689,0.382364199,0.869236311
150,0.413800786,0.8817,0.381764225,0.870357028
151,0.412425846,0.8804,0.371757764,0.875060038
152,0.472960952,0.8756,0.375467265,0.872678514
153,0.503613065,0.8625,0.379793179,0.87121879
154,0.532433709,0.8618,0.378874129,0.872797886
155,0.420604756,0.8814,0.377531455,0.872898655
156,0.414829255,0.8866,0.37295999,0.872638489
157,0.486235472,0.867,0.370260762,0.874239513
158,0.543728324,0.8624,0.3698692,0.874639769
159,0.49437272,0.8614,0.372611745,0.872838617
160,0.385915571,0.885,0.371970407,0.873739193
161,0.434373047,0.8786,0.361072741,0.878602305
162,0.430973669,0.875,0.369232755,0.876300833
163,0.465246429,0.877,0.36769328,0.875400256
164,0.415388085,0.8779,0.370088764,0.874979987
165,0.446350476,0.884,0.365591996,0.876801153
166,0.4258607,0.8802,0.362011519,0.876901217
167,0.482830491,0.8765,0.368907744,0.874599744
168,0.47859596,0.8668,0.371790566,0.874939981
169,0.435045648,0.8779,0.368282734,0.875700673
170,0.443977223,0.8819,0.362733146,0.877661703
171,0.393215163,0.8857,0.365041951,0.87728146
172,0.431420448,0.8733,0.370937199,0.874759846
173,0.431115221,0.8799,0.369572066,0.87564041
174,0.415133787,0.8775,0.355724648,0.880181658
175,0.484346377,0.8724,0.361233405,0.877001281
176,0.532663211,0.8671,0.359614276,0.879143978
177,0.413776313,0.877,0.36109553,0.879262728
178,0.430502948,0.8854,0.356548867,0.878902498
179,0.499339568,0.8629,0.368919359,0.875200128
180,0.472264533,0.8793,0.356487107,0.879743036
181,0.467493396,0.8811,0.362386241,0.877181396
182,0.42439454,0.888,0.363228749,0.87742155
183,0.458149301,0.8756,0.359028152,0.878482229
184,0.405487259,0.885,0.357407898,0.878862472
185,0.458861017,0.8758,0.35797213,0.879923151
186,0.477743248,0.8806,0.351321581,0.88020333
187,0.407102559,0.8856,0.35837837,0.879262728
188,0.393877083,0.8876,0.361045892,0.879823087
189,0.438586583,0.8838,0.361244678,0.879162664
190,0.404115346,0.8799,0.357487348,0.878342139
191,0.46924119,0.8809,0.353445627,0.880581786
192,0.48351814,0.8768,0.366179495,0.87576073
193,0.432021786,0.8809,0.355439288,0.881582106
194,0.493966491,0.8616,0.35527712,0.879904709
195,0.469767906,0.8836,0.351587222,0.880583573
196,0.384663546,0.8893,0.356994778,0.879542907
197,0.410003211,0.8871,0.350639246,0.881123919
198,0.392945041,0.8783,0.353185669,0.880743676
199,0.496353453,0.8691,0.34430156,0.883525456
200,0.422758032,0.8827,0.349867125,0.879482869
201,0.453376208,0.8829,0.350523337,0.881203971
202,0.464958434,0.8802,0.351663984,0.882084534
203,0.477500824,0.8746,0.350870963,0.881083894
204,0.456970977,0.874,0.358084505,0.879282741
205,0.410597005,0.8859,0.350551086,0.881744316
206,0.479811049,0.8704,0.356613611,0.879641485
207,0.449704451,0.8832,0.344100314,0.883648302
208,0.438556173,0.8893,0.352420898,0.881264009
209,0.474854381,0.8794,0.342379952,0.884566122
210,0.507333354,0.8704,0.350888877,0.882024496
211,0.435010195,0.8799,0.347755476,0.882502401
212,0.412138722,0.8823,0.34325857,0.883608264
213,0.520262643,0.8769,0.346635971,0.882084534
214,0.50248061,0.8779,0.348449867,0.881704291
215,0.455006962,0.8831,0.356903987,0.880483509
